left_elbow_angle,right_elbow_angle,shoulder_hip_dist,view_type,label
156.77,159.47,0.1833,2,1
156.84,158.21,0.1833,2,1
158.64,156.21,0.1844,2,1
159.84,156.93,0.1833,2,1
160.48,156.84,0.1844,2,1
159.92,154.96,0.1854,2,1
158.73,155.28,0.1875,2,1
157.24,153.98,0.1896,2,1
153.73,147.45,0.1979,2,-1
150.88,144.54,0.2,2,-1
149.19,135.8,0.2031,2,-1
144.28,119.62,0.2052,2,-1
137.7,115.03,0.2,2,-1
134.46,120.61,0.2073,2,-1
133.66,113.97,0.2052,2,-1
132.54,106.87,0.2083,2,-1
130.08,98.43,0.2073,2,-1
126.42,93.48,0.2021,2,-1
124.97,89.04,0.199,2,-1
120.5,81.06,0.1958,2,-1
111.89,77.52,0.1896,2,-1
106.54,81.17,0.1865,2,-1
102.99,79.55,0.1833,2,-1
98.63,67.71,0.175,2,0
92.3,64.78,0.1719,2,0
84.75,69.12,0.1698,2,0
82.71,68.4,0.1615,2,0
78.42,70.86,0.1448,2,0
80.04,50.03,0.1531,2,0
78.32,69.25,0.1562,2,0
76.78,61.64,0.1521,2,0
76.91,57.67,0.1531,2,0
76.69,56.03,0.151,2,0
75.77,54.52,0.1479,2,0
76.51,54.0,0.1417,2,0
71.75,53.04,0.1302,2,0
75.02,58.11,0.1354,2,0
74.07,56.73,0.1302,2,0
73.18,59.39,0.1302,2,0
73.18,60.12,0.1302,2,0
76.08,59.1,0.1333,2,0
76.56,53.98,0.1344,2,0
85.27,52.63,0.1521,2,0
86.12,60.37,0.1437,2,0
98.87,83.13,0.1677,2,-1
103.52,118.42,0.1812,2,-1
106.16,126.65,0.1875,2,-1
111.94,146.61,0.199,2,-1
116.98,155.15,0.2062,2,1
126.38,131.96,0.2167,2,-1
132.82,125.08,0.225,2,-1
133.44,121.29,0.2198,2,-1
137.89,128.42,0.2208,2,-1
145.08,127.46,0.2156,2,-1
149.1,134.7,0.2104,2,-1
153.36,133.03,0.2031,2,-1
157.96,137.73,0.1969,2,-1
155.61,144.53,0.1958,2,-1
156.05,147.73,0.1906,2,-1
155.34,149.95,0.1875,2,-1
154.0,149.51,0.1844,2,-1
152.41,149.57,0.1833,2,-1
152.38,153.18,0.1833,2,1
152.68,152.59,0.1833,2,1
152.95,151.47,0.1833,2,1
153.84,151.31,0.1854,2,1
152.94,151.27,0.1854,2,1
152.07,152.68,0.1865,2,1
150.9,151.73,0.1885,2,1
151.9,149.17,0.1958,2,-1
151.48,142.65,0.201,2,-1
150.0,143.15,0.2021,2,-1
146.92,138.76,0.201,2,-1
143.57,131.06,0.2042,2,-1
142.55,126.35,0.2083,2,-1
139.16,117.92,0.2125,2,-1
137.35,116.34,0.2135,2,-1
136.53,113.66,0.2135,2,-1
134.05,113.15,0.2135,2,-1
133.02,107.54,0.2115,2,-1
129.8,94.33,0.2083,2,-1
126.98,88.83,0.2062,2,-1
116.27,85.14,0.2031,2,-1
111.88,83.67,0.2042,2,-1
108.38,82.9,0.2021,2,-1
108.99,73.84,0.199,2,0
104.53,67.13,0.1917,2,0
93.76,55.29,0.1792,2,0
92.63,55.07,0.176,2,0
85.44,55.85,0.1677,2,0
83.11,53.92,0.1615,2,0
81.76,46.55,0.1594,2,0
80.35,43.99,0.1552,2,0
78.88,46.14,0.1521,2,0
79.07,45.9,0.1479,2,0
80.69,50.5,0.149,2,0
80.03,50.69,0.151,2,0
80.14,51.69,0.151,2,0
80.5,52.68,0.1479,2,0
82.61,53.12,0.15,2,0
83.61,54.1,0.1521,2,0
83.65,53.59,0.1531,2,0
84.46,59.7,0.1594,2,0
89.43,60.89,0.1635,2,0
94.4,62.86,0.1708,2,0
100.89,79.15,0.1833,2,-1
104.88,97.39,0.1948,2,-1
112.98,101.93,0.199,2,-1
107.55,106.42,0.2031,2,-1
113.03,120.56,0.2219,2,-1
128.88,125.23,0.2229,2,-1
140.73,133.32,0.2177,2,-1
145.7,147.48,0.2198,2,-1
143.1,138.95,0.224,2,-1
147.6,136.23,0.224,2,-1
149.4,137.39,0.225,2,-1
154.09,138.79,0.2198,2,-1
155.99,144.6,0.2146,2,-1
155.24,152.52,0.2125,2,1
157.88,155.94,0.2094,2,1
158.46,153.95,0.2094,2,1
156.73,150.62,0.2073,2,1
154.98,153.43,0.2052,2,1
156.71,152.69,0.2042,2,1
156.45,147.18,0.2031,2,-1
155.26,145.87,0.2021,2,-1
154.34,141.63,0.2021,2,-1
151.74,140.53,0.2021,2,-1
151.45,140.43,0.2042,2,-1
151.38,140.53,0.2021,2,-1
147.39,136.06,0.2042,2,-1
146.74,132.17,0.2031,2,-1
143.16,126.37,0.2052,2,-1
142.29,123.35,0.2062,2,-1
140.98,116.63,0.2083,2,-1
138.71,111.45,0.2125,2,-1
134.47,110.54,0.2083,2,-1
131.01,109.18,0.2135,2,-1
129.24,102.98,0.2115,2,-1
127.68,96.01,0.2104,2,-1
122.99,91.85,0.2104,2,-1
123.42,87.49,0.2042,2,-1
119.43,85.58,0.1979,2,-1
114.96,81.83,0.2,2,-1
105.38,70.62,0.2031,2,0
105.58,66.96,0.1979,2,0
102.35,59.91,0.1948,2,0
92.96,54.87,0.1823,2,0
87.49,56.57,0.175,2,0
83.88,58.99,0.1677,2,0
83.85,73.05,0.1729,2,0
85.39,76.72,0.1719,2,-1
82.74,66.51,0.1635,2,0
84.41,64.7,0.1604,2,0
81.83,61.08,0.1573,2,0
80.27,65.05,0.1542,2,0
78.86,63.99,0.1562,2,0
78.08,65.61,0.1625,2,0
78.54,66.49,0.1656,2,0
79.17,64.89,0.1656,2,0
79.73,57.08,0.1677,2,0
81.26,58.23,0.1677,2,0
85.93,59.05,0.175,2,0
88.2,63.05,0.175,2,0
98.61,82.6,0.2073,2,-1
103.81,83.48,0.2052,2,-1
105.55,93.22,0.2062,2,-1
108.01,99.57,0.2219,2,-1
119.87,98.85,0.225,2,-1
128.73,120.66,0.2344,2,-1
128.37,127.79,0.2333,2,-1
135.78,140.36,0.2437,2,-1
141.44,137.57,0.2437,2,-1
149.3,136.62,0.2385,2,-1
153.96,137.01,0.2344,2,-1
155.02,137.45,0.2333,2,-1
157.19,147.15,0.2375,2,-1
161.49,149.56,0.2365,2,-1
160.45,150.0,0.2406,2,-1
161.51,150.86,0.2375,2,1
160.89,147.3,0.2323,2,-1
159.35,140.28,0.2313,2,-1
